,Dominant_Topic,Perc_Contribution,Topic_Keywords,0
10,1.0,0.4925999939441681,"., .., hem, bir, ama, alt, görmek, yok, cok, gibi, ve, kısım, icin, konu, de, -1, ,, sanki, kasmak, ses, urun, alınmak, ne, ,0, aparat, <, ekranmak, gerekmek, pek, Görür","Berbat bir dizayn. Her yerinde açıklık var  aldığı havanını yarısını
içeri verir. Berbat kötü.  ,-1"
11,0.0,0.8974000215530396,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",çok hızlı bir şekil el gelmek akabinde evet oldukça sesli ama elektrik süpürge kadar iyi çekmek Gu var pratik tavsiye etmek 
12,2.0,0.45010000467300415,"., -1, ,, bir, !, bu, de, ,0, için, ), da, ve, (, Bu, diye, var, ürün, VE, daha, sonra, ;, BİR, ürünü, iade, ne, 3, kadar, ..., yok, ''",tost yapmak kaşamak peynir tam eritmek 
13,4.0,0.527899980545044,"., çok, ve, bir, için, ,1, ,0, güzel, ama, iyi, da, ürün, bu, Ürün, biraz, gücü, gibi, daha, fakat, göre, değil, gayet, yok, sık, ederim, de, en, olması, ağır, hızlı","Arkadaşlar ürün çok güzel ve de sessiz çalışıyo.Kargo hızlıydı fakat ben
kargoyu takip edemedim(Ceva Lojistik).onun dışında bi sıkıntı yok.Mağaza
da güvenilir bu arada  ,1"
14,0.0,0.8996999859809875,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",indirim almak gayet kullanmak güçlü bir ürün 
15,0.0,0.9614999890327454,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",avantaj taşmak Br dezavantaj yüksek ses açmak biraz bozulmak Br çok yüksek ses ile se biraz bozmak bu da dinlemek 
16,3.0,0.9646999835968018,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var","Ürünü montaj yapsalar anlayacağım nasıl ya Aras kargo geç getirdi . Ben
12 gün önce aldığım üründen hala montaj bekliyorum .  ,0"
17,0.0,0.899399995803833,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",bileşmek hepsi Li yılmak kalmak tavsiye etmek 
18,2.0,0.6103000044822693,"., -1, ,, bir, !, bu, de, ,0, için, ), da, ve, (, Bu, diye, var, ürün, VE, daha, sonra, ;, BİR, ürünü, iade, ne, 3, kadar, ..., yok, ''","Ürün de sıkıntı yok fakat ücretsiz kargo olarak siparis verdik kargo
ücreti aldılar uğraşmak da istemiyorum. demek ki 3 lira mağaza için
değerli bir para.  ,-1"
19,0.0,0.6743000149726868,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",görüntü estetik gayet güzel güzel iş görmek emin ama dış malzeme biraz daha kalite tutulmak çok tel mas 
20,1.0,0.4318000078201294,"., .., hem, bir, ama, alt, görmek, yok, cok, gibi, ve, kısım, icin, konu, de, -1, ,, sanki, kasmak, ses, urun, alınmak, ne, ,0, aparat, <, ekranmak, gerekmek, pek, Görür","guzel urun  keske gri metal renkli olsaydi sapi daha guzel olurdu  siyah
cikti  bundan haric urun guzel. tesekkurler  ,1"
21,3.0,0.8458999991416931,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var","çalışma süresinin kısalığı beni şaşırttı bu da motor gücünün zayıflığını
gösterir sanırım  ,0"
22,0.0,0.9107000231742859,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ürün fena değil ama renk banmak soluk gelmek 
23,0.0,0.8925999999046326,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ürün tam istemek gibi değil ama idare etmek pişirmek sürmek Baymak uzun ordu aynı yağlamak tencere yapmak daha çabuk 
24,0.0,0.8835999965667725,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",fiyat da kullanmak da çok iyi 
25,0.0,0.38760000467300415,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",se çok yüksek mikser çalışmak yanında konu kendi de karşı de duymak 
26,0.0,0.7182999849319458,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",firma fark ürün göndermek eksi not 
27,0.0,0.8992999792098999,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",daha önce uzun sürmek kullanmak bir ürün 
28,0.0,0.5838000178337097,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",bugün ilk defa kullanmak ilk izlenim mükemmel yön 
29,3.0,0.4950000047683716,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var",işletim sistem kuru güncellemek almak bozulmak 
30,0.0,0.9194999933242798,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",fiyat göre iyi bir ürün fazla bir şey beklemek 
31,0.0,0.9196000099182129,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",sipariş etmek gün el ulaşmak ancak se çok beğenmek 
32,0.0,0.7315999865531921,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",kullanmak daha 
33,0.0,0.9329000115394592,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ürün garanti gitmek gelmek şu anmak için memnu ancak mağaza berbat 
34,0.0,0.7161999940872192,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",hayır beğenmek bozulmak ve telefon kaldırmak 
35,0.0,0.9575999975204468,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",günde el ulaşmak kaç gün sonra yorum yapmak gerçekten şık bir telefon daha önce Lg G kullanmak memnu 
36,2.0,0.5618000030517578,"., -1, ,, bir, !, bu, de, ,0, için, ), da, ve, (, Bu, diye, var, ürün, VE, daha, sonra, ;, BİR, ürünü, iade, ne, 3, kadar, ..., yok, ''","Ürün ile şimdilik bir sıkıntı bulunmuyor. Bu fiyata daha iyisi olmaz.
Ama satıcının gönderdiği ürünün ambalajı savaştan çıkmış gibi eski çürük
ambalajlı ürün göndermiş.  ,-1"
37,0.0,0.8779000043869019,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",görüntü olmak gayet güzel bir ürün ama çaydanlık kısım tam oturmak için iade etmek maalesef 
38,2.0,0.9074000120162964,"., -1, ,, bir, !, bu, de, ,0, için, ), da, ve, (, Bu, diye, var, ürün, VE, daha, sonra, ;, BİR, ürünü, iade, ne, 3, kadar, ..., yok, ''","Arkadaşlar kesinlikle KUMTEL markasını tavsiye etmiyorum. Servis 2 3
haftadan önce gelmiyor kurulum yapmaya. Ben 5 gündür bekliyorum ve
gelmeye niyetleri yok arıyorum her defasında ""yoğunduk gelemedik 
unuttuk gibi bir sürü yalan söyleniyor. Bende kendim takmaya karar
verdim eğer kurulum için bu kadar bekletiyorlarsa garantisi olsa ne
yazar ki? Demek ki ürün GARANTİYE GİTSE DAHA HİÇ GELMEYECEK :))))  ,-1"
39,0.0,0.76910001039505,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",plastik yazmak ama plastik değil sanmak değil mi her yemek de çelik yazmak siz de plastik almak ama şüphe düşüm 
40,0.0,0.6276000142097473,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",sorumak tam zamanında gelmek fiyat kalite tatminkâr 
41,0.0,0.20000000298023224,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok", 
42,0.0,0.5803999900817871,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",patates bilmek ama köfte şahane yapmak 
43,1.0,0.4796000123023987,"., .., hem, bir, ama, alt, görmek, yok, cok, gibi, ve, kısım, icin, konu, de, -1, ,, sanki, kasmak, ses, urun, alınmak, ne, ,0, aparat, <, ekranmak, gerekmek, pek, Görür",eh güzel orta derece 
44,3.0,0.9595000147819519,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var","Arkadaş ürün elime ulaşmadan saçma sapan yorum iatiyorsunu. Ürün yok
ortada. Alın size yorum.  ,-1"
45,0.0,0.9271000027656555,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ürün çeyiz almak paket açmak denemek hemen iş inşallah iyi 
46,3.0,0.9456999897956848,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var","basit bi urun zaten kutuyu actigimda tekeri yerinden cikmisti hic
tavsiye etmem  ,-1"
47,0.0,0.9330999851226807,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ürün el gayet hızlı ulaşmak fiyat göre kullanmak iyi bir ürün 
48,3.0,0.4700999855995178,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var","Kesilkle berbat bşr tablet oyun 100 MbLİK OYUN açtım ve tabletin ekranı sıcaklığından yanıyordu resmen..
Kesinlikle kötü  para ekleyip başka bir model alın elinize kalır bu tablet !!  ,-1"
49,0.0,0.8395000100135803,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",çok çok güzel bayılmak 
50,0.0,0.8655999898910522,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",fatura yok paketlemek iyi değil 
51,0.0,0.8396000266075134,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",güzel ürün çok memnu 
52,0.0,0.7325999736785889,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",kesinlikle beğenmek 
53,3.0,0.9613000154495239,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var","hiç beğenmedim ilk gömlek hamlesinde yapıştı anlıyacağınız gömlek
yandı.bazilariniz derki ayarını yapamamış sındır ama ilk defa ütü yapmıyorum   ,-1"
54,2.0,0.5557000041007996,"., -1, ,, bir, !, bu, de, ,0, için, ), da, ve, (, Bu, diye, var, ürün, VE, daha, sonra, ;, BİR, ürünü, iade, ne, 3, kadar, ..., yok, ''","Beklediğimden daha sessiz çalışması var onun dışında tecrübe edecek
vaktim olmadı  ,1"
55,4.0,0.4239000082015991,"., çok, ve, bir, için, ,1, ,0, güzel, ama, iyi, da, ürün, bu, Ürün, biraz, gücü, gibi, daha, fakat, göre, değil, gayet, yok, sık, ederim, de, en, olması, ağır, hızlı","urun çok güzel kapalıda plastik yerine metal olsaymış dahada güzel
olurmuş...cok beğendim güzel urun  ,1"
56,0.0,0.7218000292778015,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",gibi çıkmak rezistans kısa sürmek bozulmak 
57,3.0,0.8147000074386597,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var","Ürünü alalı 2 yıl oldu birkaç deneyimden sonra yorum yapayım dedim.Ürün
sert hamurlarda zayıf kalıyor clipsli üst kapak çok zayıf ve hemen
kırılıyor .Dışı plastik olduğu için görüntüye aldanmayın sağlamlık hissi
bende oluşmadı.Az zorlamada sanki bozulakmış gibi ve motordan koku
geliyor .kısacası mutfak şefi için zayıf bir ürün zaten diğer hamurlar
mikxerlede oluyor.Daha çok verip daha sağlam bir ürün almadığıma
üzülmedim değil.  ,0"
58,0.0,0.7993999719619751,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",kargo tavsiye etmek 
59,0.0,0.946399986743927,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",henüz kullanmak ama paketlemek gayet iyi tatil eşarp ütülemek için almak memnun kalmak düşünmek 
60,0.0,0.9269999861717224,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",avantaj fiyat Br dezavantaj yok Br ses kalite çok iyi 
61,0.0,0.7982000112533569,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",iyi değil pahalı 
62,0.0,0.6323000192642212,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ürün çalışmak bayan için çok pratik 
63,0.0,0.732699990272522,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",güzel ilgilenmek 
64,0.0,0.7706000208854675,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",anne çok beğenmek fırın kısım memnun değil 
65,0.0,0.899399995803833,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",Phone S gb ürün beğenmek tavsiye etmek 
66,0.0,0.5631999969482422,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ürümek hazne olmak kıyaslamak hâliyle küçük biraz daha teferruat bir şey demek iş görmez 
67,0.0,0.5228999853134155,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",hem fiyat acı Trendyol daha Uygu almak hem de harika yaratmak bir ürün sahip 
68,0.0,0.20000000298023224,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok", 
69,0.0,0.7882999777793884,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",tarih sipariş vermek teslim almak ürün özemek paket 
70,0.0,0.7666000127792358,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",fena değil fa çalışmak yazmak gibi değil 
71,0.0,0.9379000067710876,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",metre bile çalışmak vermek par yazık ordu hızlı kargo ve paketlemek sağlam 
72,0.0,0.8666999936103821,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",indirim almak çeyiz olmak beğenmek 
73,0.0,0.6895999908447266,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",hepsi burmak fark ürün zamanında teslim 
74,0.0,0.9269999861717224,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",ızgara kesinlikle yapışmak yapmak kısa sürmek ısıtmak çok memnun kalmak 
75,3.0,0.7218999862670898,"., ,, -1, bir, ve, bu, ,1, ürün, çok, :, ama, iyi, daha, için, ,0, değil, gibi, da, geldi, aldım, yok, Ürün, kadar, yönleri, sonra, ürünü, ile, olarak, ..., var","ürün elime kırık şekilde geldi. kargocuya zabıt tuturmadıgım için iade
edemedim haliyle. böyle bi kargolama şekli olmaz ince bi sitreş sarılmıs
sadece ürünü korıyacak bişey yok. kesinlikle önermiyorum...  ,-1"
76,1.0,0.45339998602867126,"., .., hem, bir, ama, alt, görmek, yok, cok, gibi, ve, kısım, icin, konu, de, -1, ,, sanki, kasmak, ses, urun, alınmak, ne, ,0, aparat, <, ekranmak, gerekmek, pek, Görür","kullanışlı. annem ve babam için 1'er tane aldım. torunları ile görüntülü konuşma yapıp resimli cuma mesajları gönderebilecekleri  fotoğraf çekebilecekleri  whatsapp'da yazışabilecekleri  candy crush oynayabilecekleri   navigasyon olarak kullanabilecekleri (navigasyon ile ilgili babamın yorumu şöyledir: ""bazen yanlış yerlere götürüyor yahu  benim hanım bu konuda daha güvenilir"") bi telefon. çok fazla program ve oyun yüklemezseniz sorun olmuyor. canım annem sürekli reklamlara tıkladığı için bazen telefon yavaşlıyor  arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor. babam da namaz vakitlerini takip ediyor. çok şey beklemeyin  parasının telefonu.  ,1"
77,0.0,0.4912000000476837,"ürün, çok, bir, güzel, almak, etmek, kullanmak, iyi, ve, fiyat, kalite, gelmek, tavsiye, ama, olmak, gayet, hızlı, teşekkür, beğenmek, değil, daha, için, kargo, bu, yapmak, gibi, göre, kalmak, hiç, yok",biraz küçük ama iş görmek alınmak 
